NFR,Sector,Table,Type,Technology,Fuel,Abatement,Region,Pollutant,Value,Unit,CI_lower,CI_upper,Reference
1.A.1.a,Public electricity and heat production,Table_3-20,Tier 2 emission factor,Stationary reciprocating Engines - gas-fired,Natural gas,,NA,Benzo(a)pyrene,1.2,µg/GJ,0.24,6,"Nielsen et al., 2010"
1.A.1.a,Public electricity and heat production,Table_3-20,Tier 2 emission factor,Stationary reciprocating Engines - gas-fired,Natural gas,,NA,Cr,0.05,mg/GJ,0.01,0.25,"Nielsen et al., 2010"
1.A.1.a,Public electricity and heat production,Table_3-20,Tier 2 emission factor,Stationary reciprocating Engines - gas-fired,Natural gas,,NA,Cd,0.003,mg/GJ,0.0006,0.015,"Nielsen et al., 2010"
1.A.1.a,Public electricity and heat production,Table_3-20,Tier 2 emission factor,Stationary reciprocating Engines - gas-fired,Natural gas,,NA,"Indeno(1,2,3-cd)pyrene",1.8,µg/GJ,0.36,9,"Nielsen et al., 2010"
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 emission factor,NA,Hard Coal,,NA,PCDD/F,10,ng I-TEQ/GJ,5,15,UNEP (2005); Coal fired power boilers
1.A.1.a,Public electricity and heat production,Table_3-17,Tier 2 emission factor,Gas Turbines,Gaseous Fuels,,NA,Benzo(k)fluoranthene,1.11,µg/GJ,0.4,3.3,"API, 1998"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 emission factor,NA,Brown Coal,,NA,NOx,247,g/GJ,143,571,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 emission factor,NA,Hard Coal,,NA,Zn,19,mg/GJ,7.75,155,Expert judgement derived from EMEP/EEA Guidebook (2006)
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 emission factor,NA,Hard Coal,,NA,Se,23,mg/GJ,16,37.3,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-2,Tier 1 emission factor,NA,Hard Coal,,NA,Cr,4.5,mg/GJ,3.2,7.46,"US EPA (1998), chapter 1.1"
1.A.1.a,Public electricity and heat production,Table_3-20,Tier 2 emission factor,Stationary reciprocating Engines - gas-fired,Natural gas,,NA,TSP,2,g/GJ,1,3,"BUWAL, 2001"
1.A.1.a,Public electricity and heat production,Table_3-19,Tier 2 emission factor,Large stationary CI reciprocating engines,Gas Oil,,NA,NMVOC,37.1,g/GJ,18.5,55.6,"US EPA (1996), chapter 3.3"
1.A.1.a,Public electricity and heat production,Table_3-18,Tier 2 emission factor,Gas Turbines,Gas Oil,,NA,BC,33.5,% of PM2.5,28.9,38,"Hildemann et al., 1981 & Bond et al., 2006"
1.A.1.a,Public electricity and heat production,Table_3-17,Tier 2 emission factor,Gas Turbines,Gaseous Fuels,,NA,"Indeno(1,2,3-cd)pyrene",8.36,µg/GJ,2.8,25.1,"API, 1998"
1.A.1.a,Public electricity and heat production,Table_3-20,Tier 2 emission factor,Stationary reciprocating Engines - gas-fired,Natural gas,,NA,CO,56,g/GJ,20,135,"Nielsen et al., 2010"
1.A.1.a,Public electricity and heat production,Table_3-19,Tier 2 emission factor,Large stationary CI reciprocating engines,Gas Oil,,NA,BC,78,% of PM2.5,63,93,"Hernandez et al., 2004"
1.A.1.a,Public electricity and heat production,Table_3-19,Tier 2 emission factor,Large stationary CI reciprocating engines,Gas Oil,,NA,Zn,1.81,mg/GJ,0.18,18.1,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-19,Tier 2 emission factor,Large stationary CI reciprocating engines,Gas Oil,,NA,Cu,2.72,mg/GJ,0.27,27.1,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-19,Tier 2 emission factor,Large stationary CI reciprocating engines,Gas Oil,,NA,PM2.5,21.7,g/GJ,10.8,43.4,"US EPA (1996), chapter 3.3"
1.A.1.a,Public electricity and heat production,Table_3-19,Tier 2 emission factor,Large stationary CI reciprocating engines,Gas Oil,,NA,Benzo(k)fluoranthene,0.0987,mg/GJ,0.0493,0.0987,"US EPA (1996), chapter 3.3 (""Less than"" value based on method detection limits)"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 emission factor,NA,Gas oil,,NA,Cu,2.72,mg/GJ,0.27,30,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 emission factor,NA,Gas oil,,NA,Hg,1.36,mg/GJ,0.14,15,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 emission factor,NA,Brown Coal,,NA,SOx,1680,g/GJ,330,5000,See note in Guidebook chapter
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 emission factor,NA,Gas oil,,NA,CO,16.2,g/GJ,4,65,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-5,Tier 1 emission factor,NA,Heavy Fuel Oil,,NA,"Indeno(1,2,3-cd)pyrene",6.92,µg/GJ,3.46,13.8,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-5,Tier 1 emission factor,NA,Heavy Fuel Oil,,NA,PCDD/F,2.5,ng I-TEQ/GJ,1.25,3.75,UNEP (2005); Heavy fuel fired power boilers
1.A.1.a,Public electricity and heat production,Table_3-6,Tier 1 emission factor,NA,Gas oil,,NA,Pb,4.07,mg/GJ,0.41,40,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 emission factor,NA,Biomass,,NA,"Indeno(1,2,3-cd)pyrene",0.0374,mg/GJ,0.0187,0.0561,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 emission factor,NA,Biomass,,NA,Benzo(a)pyrene,1.12,mg/GJ,0.671,1.57,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 emission factor,NA,Biomass,,NA,PCDD/F,50,ng I-TEQ/GJ,25,75,UNEP (2005) (for clean wood)
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 emission factor,NA,Biomass,,NA,Zn,181,mg/GJ,108,253,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 emission factor,NA,Biomass,,NA,TSP,172,g/GJ,86,344,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 emission factor,NA,Biomass,,NA,SOx,10.8,g/GJ,6.45,15.1,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-7,Tier 1 emission factor,NA,Biomass,,NA,NMVOC,7.31,g/GJ,2.44,21.9,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 emission factor,NA,Brown Coal,,NA,PCDD/F,10,ng I-TEQ/GJ,5,15,UNEP (2005); Coal fired power boilers
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 emission factor,NA,Brown Coal,,NA,Cu,0.27,mg/GJ,0.08,0.78,Expert judgement derived from Guidebook (2006)
1.A.1.a,Public electricity and heat production,Table_3-3,Tier 1 emission factor,NA,Brown Coal,,NA,PM2.5,3.2,g/GJ,1,32,"US EPA (1998), chapter 1.7"
1.A.1.a,Public electricity and heat production,Table_3-5,Tier 1 emission factor,NA,Heavy Fuel Oil,,NA,SOx,495,g/GJ,146,1700,See note in Guidebook chapter
1.A.1.a,Public electricity and heat production,Table_3-4,Tier 1 emission factor,NA,Gaseous fuels,,NA,Benzo(a)pyrene,0.562,µg/GJ,0.187,1.69,"US EPA (1998), chapter 1.4"
1.A.1.a,Public electricity and heat production,Table_3-12,Tier 2 emission factor,Dry Bottom Boilers,Natural Gas,,NA,NOx,89,g/GJ,15,185,"US EPA (1998), chapter 1.4"
1.A.1.a,Public electricity and heat production,Table_3-11,Tier 2 emission factor,Dry Bottom Boilers,Residual Oil,,NA,"Indeno(1,2,3-cd)pyrene",6.92,µg/GJ,3.46,13.8,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-11,Tier 2 emission factor,Dry Bottom Boilers,Residual Oil,,NA,Zn,87.8,mg/GJ,43.9,176,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-11,Tier 2 emission factor,Dry Bottom Boilers,Residual Oil,,NA,Se,2.06,mg/GJ,1.03,4.12,"US EPA (1998), chapter 1.3"
1.A.1.a,Public electricity and heat production,Table_3-13,Tier 2 emission factor,Dry Bottom Boilers,Wood and wood waste (clean wood waste),,NA,PM2.5,133,g/GJ,66,266,"US EPA (2003), chapter 1.6"
1.A.1.a,Public electricity and heat production,Table_3-13,Tier 2 emission factor,Dry Bottom Boilers,Wood and wood waste (clean wood waste),,NA,TSP,172,g/GJ,86,344,"US EPA (2003), chapter 1.6"
